x,y,u,v,sqrt
0, 0, 0, 0, 0
0.02, 0, 0, 0, 0
0.04, 0, 0, 0, 0
0.06, 0, 0, 0, 0
0.08, 0, 0, 0, 0
0.1, 0, 0, 0, 0
0.12, 0, 0, 0, 0
0.14, 0, 0, 0, 0
0.16, 0, 0, 0, 0
0.18, 0, 0, 0, 0
0.2, 0, 0, 0, 0
0.22, 0, 0, 0, 0
0.24, 0, 0, 0, 0
0.26, 0, 0, 0, 0
0.28, 0, 0, 0, 0
0.3, 0, 0, 0, 0
0.32, 0, 0, 0, 0
0.34, 0, 0, 0, 0
0.36, 0, 0, 0, 0
0.38, 0, 0, 0, 0
0.4, 0, 0, 0, 0
0.42, 0, 0, 0, 0
0.44, 0, 0, 0, 0
0.46, 0, 0, 0, 0
0.48, 0, 0, 0, 0
0.5, 0, 0, 0, 0
0.52, 0, 0, 0, 0
0.54, 0, 0, 0, 0
0.56, 0, 0, 0, 0
0.58, 0, 0, 0, 0
0.6, 0, 0, 0, 0
0.62, 0, 0, 0, 0
0.64, 0, 0, 0, 0
0.66, 0, 0, 0, 0
0.68, 0, 0, 0, 0
0.7, 0, 0, 0, 0
0.72, 0, 0, 0, 0
0.74, 0, 0, 0, 0
0.76, 0, 0, 0, 0
0.78, 0, 0, 0, 0
0.8, 0, 0, 0, 0
0.82, 0, 0, 0, 0
0.84, 0, 0, 0, 0
0.86, 0, 0, 0, 0
0.88, 0, 0, 0, 0
0.9, 0, 0, 0, 0
0.92, 0, 0, 0, 0
0.94, 0, 0, 0, 0
0.96, 0, 0, 0, 0
0.98, 0, 0, 0, 0
1, 0, 0, 0, 0
0, 0.02, 0, 0, 0
0.02, 0.02, 0.000322931, -6.09802e-05, 0.000328638
0.04, 0.02, 0.000705474, -7.1055e-05, 0.000709044
0.06, 0.02, 0.00103951, -1.15598e-05, 0.00103957
0.08, 0.02, 0.00124361, 8.67659e-05, 0.00124663
0.1, 0.02, 0.00127462, 0.000199875, 0.0012902
0.12, 0.02, 0.00111577, 0.000315398, 0.0011595
0.14, 0.02, 0.000763315, 0.000429214, 0.000875714
0.16, 0.02, 0.000217355, 0.000541769, 0.000583744
0.18, 0.02, -0.000522936, 0.000655348, 0.000838417
0.2, 0.02, -0.0014607, 0.000772183, 0.00165225
0.22, 0.02, -0.00260038, 0.00089322, 0.00274951
0.24, 0.02, -0.00394509, 0.00101742, 0.00407417
0.26, 0.02, -0.00549338, 0.00114152, 0.00561073
0.28, 0.02, -0.00723575, 0.00126005, 0.00734465
0.3, 0.02, -0.00915165, 0.00136567, 0.00925298
0.32, 0.02, -0.0112071, 0.00144952, 0.0113004
0.34, 0.02, -0.0133531, 0.00150185, 0.0134373
0.36, 0.02, -0.0155258, 0.00151266, 0.0155993
0.38, 0.02, -0.0176468, 0.0014726, 0.0177082
0.4, 0.02, -0.0196265, 0.00137396, 0.0196745
0.42, 0.02, -0.0213672, 0.00121172, 0.0214015
0.44, 0.02, -0.0227691, 0.000984644, 0.0227904
0.46, 0.02, -0.0237367, 0.000696092, 0.0237469
0.48, 0.02, -0.0241859, 0.00035463, 0.0241885
0.5, 0.02, -0.0240517, -2.58465e-05, 0.0240518
0.52, 0.02, -0.0232951, -0.000426508, 0.0232991
0.54, 0.02, -0.0219088, -0.000824601, 0.0219244
0.56, 0.02, -0.019921, -0.00119505, 0.0199568
0.58, 0.02, -0.0173965, -0.0015126, 0.0174621
0.6, 0.02, -0.0144349, -0.00175423, 0.0145411
0.62, 0.02, -0.0111654, -0.00190172, 0.0113262
0.64, 0.02, -0.00773873, -0.00194381, 0.00797912
0.66, 0.02, -0.00431646, -0.00187774, 0.00470721
0.68, 0.02, -0.00105889, -0.00170988, 0.0020112
0.7, 0.02, 0.00188739, -0.00145506, 0.00238316
0.72, 0.02, 0.00440077, -0.00113499, 0.00454477
0.74, 0.02, 0.00639337, -0.000775589, 0.00644024
0.76, 0.02, 0.00781615, -0.000403966, 0.00782659
0.78, 0.02, 0.00865976, -4.52877e-05, 0.00865988
0.8, 0.02, 0.00895113, 0.000279801, 0.0089555
