x, y, t, p, sqrt(u^2+v^2), u, v
0, 0, 10, 5.7064, 0, 0, 0
2.2, 0, 10, 0, 0, 0, 0
0, 0.41, 10, 5.59276, 0, 0, 0
2.2, 0.41, 10, 0, 0, 0, 0
0.2, 0.15, 10, 3.99973, 0, 0, 0
0.25, 0.2, 10, 4.37233, 0, 0, 0
0.2, 0.25, 10, 3.546, 0, 0, 0
0.15, 0.2, 10, 7.2175, 0, 0, 0
0.022, 0, 10, 5.70441, 0, 0, 0
0.0418, 0, 10, 5.70034, 0, 0, 0
0.0616, 0, 10, 5.68805, 0, 0, 0
0.0814, 0, 10, 5.6736, 0, 0, 0
0.1012, 0, 10, 5.64488, 0, 0, 0
0.121, 0, 10, 5.61381, 0, 0, 0
0.1408, 0, 10, 5.56611, 0, 0, 0
0.1606, 0, 10, 5.50218, 0, 0, 0
0.1804, 0, 10, 5.43887, 0, 0, 0
0.2002, 0, 10, 5.34863, 0, 0, 0
0.2222, 0, 10, 5.26337, 0, 0, 0
0.242, 0, 10, 5.16505, 0, 0, 0
0.2618, 0, 10, 5.08536, 0, 0, 0
0.2816, 0, 10, 5.00363, 0, 0, 0
0.3014, 0, 10, 4.92698, 0, 0, 0
0.3212, 0, 10, 4.85974, 0, 0, 0
0.341, 0, 10, 4.79318, 0, 0, 0
0.3608, 0, 10, 4.73061, 0, 0, 0
0.3806, 0, 10, 4.66904, 0, 0, 0
0.4004, 0, 10, 4.60611, 0, 0, 0
0.4202, 0, 10, 4.5417, 0, 0, 0
0.4422, 0, 10, 4.46623, 0, 0, 0
0.462, 0, 10, 4.3932, 0, 0, 0
0.4818, 0, 10, 4.31713, 0, 0, 0
0.5016, 0, 10, 4.24217, 0, 0, 0
0.5214, 0, 10, 4.17161, 0, 0, 0
0.5412, 0, 10, 4.10708, 0, 0, 0
0.561, 0, 10, 4.05116, 0, 0, 0
0.5808, 0, 10, 4.01068, 0, 0, 0
0.6006, 0, 10, 3.99029, 0, 0, 0
0.6204, 0, 10, 3.98444, 0, 0, 0
0.6402, 0, 10, 3.9813, 0, 0, 0
0.6622, 0, 10, 3.97016, 0, 0, 0
0.682, 0, 10, 3.95259, 0, 0, 0
0.7018, 0, 10, 3.92887, 0, 0, 0
0.7216, 0, 10, 3.89963, 0, 0, 0
0.7414, 0, 10, 3.86387, 0, 0, 0
0.7612, 0, 10, 3.81964, 0, 0, 0
0.781, 0, 10, 3.76538, 0, 0, 0
0.8008, 0, 10, 3.70101, 0, 0, 0
0.8206, 0, 10, 3.6283, 0, 0, 0
0.8404, 0, 10, 3.55034, 0, 0, 0
0.8602, 0, 10, 3.47008, 0, 0, 0
0.8822, 0, 10, 3.38072, 0, 0, 0
0.902, 0, 10, 3.29894, 0, 0, 0
0.9218, 0, 10, 3.21487, 0, 0, 0
0.9416, 0, 10, 3.12679, 0, 0, 0
0.9614, 0, 10, 3.03436, 0, 0, 0
0.9812, 0, 10, 2.93914, 0, 0, 0
1.001, 0, 10, 2.84483, 0, 0, 0
1.0208, 0, 10, 2.75702, 0, 0, 0
